City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Avarua,CK,71.65,-21.2078,-159.775,few clouds,Paradise Inn
4,Atuona,PF,78.51,-9.8,-139.0333,few clouds,Villa Enata
8,Rikitea,PF,76.89,-23.1203,-134.9692,broken clouds,Pension Maro'i
14,Cockburn Town,TC,79.41,21.4612,-71.1419,few clouds,Osprey Beach Hotel
19,Celestun,MX,87.15,20.8667,-90.4,clear sky,Posada Lilia
21,Saint-Georges,GD,85.68,12.0564,-61.7485,few clouds,Radisson Grenada Beach Resort
27,Hargeysa,SO,79.38,9.56,44.065,clear sky,City Center Hotel
28,Kavieng,PG,82.58,-2.5744,150.7967,light rain,Nusa Island Retreat
29,Nabire,ID,77.23,-3.3667,135.4833,overcast clouds,Hotel Nusantara Nabire
36,Bardiyah,LY,77.72,31.7561,25.0865,clear sky,بورتو بردية
38,Sola,VU,77.67,-13.8833,167.55,overcast clouds,Leumerus Bungalows
39,Marrakesh,MA,82.47,31.6315,-8.0083,scattered clouds,Novotel Marrakech Hivernage
40,Butaritari,KI,82.22,3.0707,172.7902,light rain,Isles Sunset Lodge
41,Hithadhoo,MV,83.88,-0.6,73.0833,broken clouds,Scoop Guest House
44,Sao Filipe,CV,75.49,14.8961,-24.4956,clear sky,Hotel Xaguate
45,Wuda,CN,72.52,39.4994,106.7117,scattered clouds,Grape Sightseeing Garden
46,Katsuura,JP,71.71,35.1333,140.3,scattered clouds,Katsuura Hotel Mikazuki
49,Sinnamary,GF,80.38,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
53,Georgetown,MY,85.95,5.4112,100.3354,moderate rain,Cititel Penang
55,Kapaa,US,70.12,22.0752,-159.319,clear sky,Sheraton Kauai Coconut Beach Resort
57,Quatre Cocos,MU,75.31,-20.2078,57.7625,scattered clouds,Emeraude Beach Attitude Hotel
58,Turayf,SA,88.05,31.6725,38.6637,clear sky,Swiss Spirit Hotel & Suites Turaif
61,Bengkulu,ID,75.79,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
66,Alofi,NU,73.29,-19.0595,-169.9187,moderate rain,Taloa Heights
67,Puerto Ayora,EC,78.76,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
72,Ternate,ID,82.04,0.8,127.4,overcast clouds,Grand Dafam Bela Ternate
79,El Cobre,CU,81.84,20.0489,-75.9469,scattered clouds,Hotel El Cobre
81,Vaini,TO,73.56,-21.2,-175.2,light rain,Keleti Beach Resort
85,Ponta Do Sol,PT,72.23,32.6667,-17.1,scattered clouds,Hotel do Campo
90,Saint-Francois,FR,75.67,46.4154,3.9054,clear sky,Manoir Du Bonheur
94,Castro,BR,74.55,-24.7911,-50.0119,few clouds,CHACARA BAILLY
95,Manta,EC,74.98,-0.95,-80.7333,overcast clouds,Balandra Hotel
97,Faanui,PF,79.12,-16.4833,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
98,Black River,JM,86.0,18.0264,-77.8487,clear sky,Idlers' Rest Beach Hotel
100,Anloga,GH,88.02,5.7947,0.8973,overcast clouds,Pin Drop Hotel
102,Pokhara,NP,72.54,28.2333,83.9833,broken clouds,Butterfly Lodge
103,Pacasmayo,PE,70.61,-7.4006,-79.5714,broken clouds,Hotel Libertad
105,Kloulklubed,PW,81.1,7.0419,134.2556,heavy intensity rain,Storyboard Beach Resort
106,Hilo,US,77.29,19.7297,-155.09,light rain,Hilo Hawaiian Hotel
109,Aras,ES,74.05,42.5617,-2.356,broken clouds,Jardines de Viana Spa
112,Victoria,HK,86.97,22.2855,114.1577,overcast clouds,Mini Hotel Central
113,Bambous Virieux,MU,75.45,-20.3428,57.7575,broken clouds,Casa Tia Villa
114,Ribeira Brava,PT,72.23,32.65,-17.0667,scattered clouds,Hotel do Campo
118,Oranjestad,AW,87.75,12.524000000000001,-70.027,scattered clouds,Divi Village Golf & Beach Resort
121,Vladicin Han,RS,70.32,42.7078,22.0633,scattered clouds,Вила Грација
124,Grand Gaube,MU,76.37,-20.0064,57.6608,few clouds,Veranda Paul et Virginie Hotel & Spa
126,Saint-Philippe,RE,72.99,-21.3585,55.7679,scattered clouds,"Chambres d'hôte ""La Trinité"""
127,Mahebourg,MU,75.49,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
132,Zhezkazgan,KZ,72.82,47.8043,67.7144,overcast clouds,Ul. Ranova 15-1 Kvartiry Posutochno.
134,Ishigaki,JP,80.98,24.3448,124.1572,broken clouds,Hotel Peace Land Ishigakijima
136,Trairi,BR,86.0,-3.2778,-39.2689,broken clouds,janelas do mar
137,Howard Springs,AU,71.51,-12.497,131.047,broken clouds,buffalo beach hostel
139,Rockport,US,77.02,28.0206,-97.0544,scattered clouds,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
144,Mangrol,IN,83.79,21.1167,70.1167,overcast clouds,Hotel The Royal Honours
146,Touros,BR,86.9,-5.1989,-35.4608,broken clouds,INN NEW HORIZON
151,Waingapu,ID,75.07,-9.6567,120.2641,overcast clouds,Pondok Wisata Elim
153,Acapulco,MX,85.82,16.8634,-99.8901,broken clouds,HS Hotsson Smart Acapulco
155,Santa Cruz,BO,85.82,-17.8,-63.1667,overcast clouds,Aviador Hotel Boutique
156,Honiara,SB,75.9,-9.4333,159.95,overcast clouds,Heritage Park Hotel
157,Isangel,VU,70.36,-19.55,169.2667,broken clouds,Tanna Lodge
158,Paita,PE,72.16,-5.0892,-81.1144,overcast clouds,Hotel Náutico de Paita
160,Manggar,ID,79.81,-2.8833,108.2667,overcast clouds,Guest Hotel
161,Vanimo,PG,78.35,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
162,Namatanai,PG,79.61,-3.6667,152.4333,overcast clouds,Namatanai Hotel
164,Alugan,PH,81.16,12.2188,125.4808,scattered clouds,JM Lodge
165,Grand-Santi,GF,79.23,4.25,-54.3833,overcast clouds,Hotel La Villa Couacou
170,Padang,ID,78.69,-0.9492,100.3543,overcast clouds,Mercure Padang
172,Tateyama,JP,71.62,34.9833,139.8667,few clouds,Tateyama Seaside Hotel
173,Vila Velha,BR,85.95,-20.3297,-40.2925,scattered clouds,Quality Suites Vila Velha
175,Wahiawa,US,70.86,21.5028,-158.0236,few clouds,Aloha Wahiawa
183,Benghazi,LY,78.96,32.1167,20.0667,scattered clouds,Tibesti Hotel
185,Vilhena,BR,84.42,-12.7406,-60.1458,clear sky,Hotel Mirage
189,Lisakovsk,KZ,70.86,52.5369,62.4936,broken clouds,Gostinitsa Lisakovsk
191,Soyo,AO,84.25,-6.1349,12.3689,few clouds,Hotel Mpampa
194,Labuhan,ID,79.09,-6.8844,112.2051,scattered clouds,PT PPI Lamongan Tambak C
196,Ipira,BR,84.24,-12.1583,-39.7372,overcast clouds,Pallace Hotel e Restaurante
199,Caravelas,BR,83.16,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
201,Saint George,US,86.47,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
203,Kahului,US,75.85,20.8947,-156.47,clear sky,Maui Seaside Hotel
204,Imbituba,BR,73.29,-28.24,-48.6703,broken clouds,Praia Hotel Imbituba
205,Hoa Binh,VN,85.89,20.8133,105.3383,overcast clouds,Hoa Dao Hotel
207,Silleda,ES,73.09,42.696000000000005,-8.2465,few clouds,Hotel Ramos
209,Buluang,PH,79.43,13.3068,123.3425,overcast clouds,Enon Beach Resort
213,Marsh Harbour,BS,79.32,26.5412,-77.0636,clear sky,Abaco Beach Resort
216,Manokwari,ID,79.36,-0.8667,134.0833,overcast clouds,Swiss Belhotel Manokwari
219,Souillac,MU,75.58,-20.5167,57.5167,light rain,Shanti Maurice Resort & Spa
220,Takoradi,GH,83.17,4.8845,-1.7554,overcast clouds,Raybow International Hotel
223,Guilin,CN,73.51,25.2819,110.2864,overcast clouds,Grand 0773 Hotel
224,Puerto Escondido,MX,86.83,15.85,-97.0667,broken clouds,Aldea del Bazar Hotel and Spa
232,Trincomalee,LK,82.33,8.5711,81.2335,broken clouds,Welcombe Hotel
233,Kavaratti,IN,83.7,10.5669,72.642,broken clouds,Hotels in Lakshadweep Islands
235,San Patricio,US,75.09,28.017,-97.5169,moderate rain,"Motel 6 Sinton, TX"
238,Venice,US,87.12,27.0998,-82.4543,clear sky,A Beach Retreat On Casey Key
239,Miguel Hidalgo,MX,73.33,19.4225,-99.2028,scattered clouds,JW Marriott Hotel Mexico City
241,Faya,SA,78.91,18.3851,42.4509,overcast clouds,مقبرة ال مجمل
244,Abha,SA,78.62,18.2164,42.5053,scattered clouds,Abha Hotel
247,Nesebar,BG,72.36,42.7833,27.7333,scattered clouds,Sunset Complex
248,Costinesti,RO,74.71,43.95,28.6333,overcast clouds,Villa Mar Bella
250,Dickinson,US,83.16,29.4608,-95.0513,scattered clouds,Hampton Inn & Suites Houston/League City
253,Kandrian,PG,78.4,-6.2167,149.55,overcast clouds,Kandrian Station
254,San Andres,CO,86.02,12.5847,-81.7006,scattered clouds,Hotel Arena Blanca
255,Chhatak,BD,83.37,25.0333,91.6667,few clouds,Hotel Sadi Internationl
258,Nouakchott,MR,76.93,18.0858,-15.9785,overcast clouds,HOTEL IMAN فندق إيمان
261,Ixtapa,MX,82.22,20.7,-105.2,clear sky,Hotel Plaza Providencia
263,Tucurui,BR,89.08,-3.7661,-49.6725,scattered clouds,BBB Rooms Centro Tucurui PA
264,Zachary,US,80.78,30.6485,-91.1565,clear sky,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
265,Langsa,ID,77.41,4.4683,97.9683,scattered clouds,OYO 2964 Hotel Ridho
268,Caucaia,BR,88.07,-3.7361,-38.6531,broken clouds,M.O.S. Logística - Filial Fortaleza
269,Ceres,US,73.8,37.5949,-120.9577,clear sky,Howard Johnson by Wyndham Modesto Ceres
270,Eyl,SO,81.93,7.9803,49.8164,overcast clouds,Amiin Hotel
273,Shache,CN,83.28,38.4167,77.2406,broken clouds,Delong Hotel
274,Ridgecrest,US,76.42,35.6225,-117.6709,clear sky,SpringHill Suites by Marriott Ridgecrest
277,Carballo,ES,72.01,43.213,-8.691,broken clouds,Pazo do Souto
279,Russell,US,78.08,32.3502,-85.1999,scattered clouds,Macs
281,Muli,MV,84.07,2.9167,73.5667,overcast clouds,Medhufushi Island Resort
287,Inhambane,MZ,76.98,-23.865,35.3833,clear sky,Oceano
288,Ambanja,MG,74.23,-13.6833,48.45,light rain,Hotel Salama and Fast Food
289,Siderno,IT,75.4,38.2779,16.302,broken clouds,Grand Hotel President
290,Makarska,HR,81.14,43.2969,17.0178,overcast clouds,Hotel Park Makarska
296,Iberia,US,80.58,29.9502,-91.7507,few clouds,back to back rv park
