City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,71.65,78,20,3.44,few clouds
1,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,14.83,light rain
2,Sitka,US,57.0531,-135.33,48.09,76,90,11.5,light rain
3,Qaanaaq,GL,77.484,-69.3632,32.5,93,38,6.04,scattered clouds
4,Atuona,PF,-9.8,-139.0333,78.51,71,13,10.94,few clouds
5,Busselton,AU,-33.65,115.3333,55.09,81,89,7.76,overcast clouds
6,Lebu,CL,-37.6167,-73.65,52.57,74,100,3.8,overcast clouds
7,Atar,MR,20.5169,-13.0499,109.38,8,100,16.02,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,76.89,85,65,19.1,broken clouds
9,Pisco,PE,-13.7,-76.2167,66.25,88,90,6.91,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,37.51,48,40,21.43,scattered clouds
11,Hasaki,JP,35.7333,140.8333,68.29,85,27,2.39,scattered clouds
12,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,4.61,broken clouds
13,Fecamp,FR,49.7579,0.3746,69.51,77,39,14.74,scattered clouds
14,Cockburn Town,TC,21.4612,-71.1419,79.41,76,12,13.04,few clouds
15,Ushuaia,AR,-54.8,-68.3,31.66,80,75,18.41,light snow
16,Torbay,CA,47.6666,-52.7314,55.27,58,40,23.02,scattered clouds
17,Rio Gallegos,AR,-51.6226,-69.2181,33.85,69,20,19.57,few clouds
18,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,79,20,13.09,few clouds
19,Celestun,MX,20.8667,-90.4,87.15,52,5,2.66,clear sky
20,East London,ZA,-33.0153,27.9116,65.34,68,0,14.97,clear sky
21,Saint-Georges,GD,12.0564,-61.7485,85.68,62,20,25.32,few clouds
22,Dikson,RU,73.5069,80.5464,23.85,90,58,3.33,broken clouds
23,Cape Town,ZA,-33.9258,18.4232,64.09,64,40,1.99,scattered clouds
24,Jamestown,US,42.097,-79.2353,49.59,88,90,8.01,overcast clouds
25,Hobart,AU,-42.8794,147.3294,46.26,80,90,4.38,overcast clouds
26,New Norfolk,AU,-42.7826,147.0587,45.9,75,38,2.93,scattered clouds
27,Hargeysa,SO,9.56,44.065,79.38,40,1,14.29,clear sky
28,Kavieng,PG,-2.5744,150.7967,82.58,80,89,11.97,light rain
29,Nabire,ID,-3.3667,135.4833,77.23,93,100,4.25,overcast clouds
30,Airai,TL,-8.9266,125.4092,58.1,91,85,3.11,overcast clouds
31,Lagoa,PT,39.05,-27.9833,63.25,71,75,5.26,broken clouds
32,Platteville,US,42.7342,-90.4785,56.95,47,1,10.36,clear sky
33,Montepuez,MZ,-13.1256,38.9997,69.55,59,24,4.12,few clouds
34,Yellowknife,CA,62.456,-114.3525,50.32,53,20,1.01,few clouds
35,Rosarito,MX,32.3333,-117.0333,60.82,75,76,5.91,broken clouds
36,Bardiyah,LY,31.7561,25.0865,77.72,46,2,3.69,clear sky
37,Carnarvon,AU,-24.8667,113.6333,68.07,77,90,12.66,overcast clouds
38,Sola,VU,-13.8833,167.55,77.67,73,90,0.0,overcast clouds
39,Marrakesh,MA,31.6315,-8.0083,82.47,47,40,5.75,scattered clouds
40,Butaritari,KI,3.0707,172.7902,82.22,81,100,15.37,light rain
41,Hithadhoo,MV,-0.6,73.0833,83.88,71,76,16.78,broken clouds
42,Bluff,NZ,-46.6,168.3333,49.8,88,100,20.36,overcast clouds
43,Drayton Valley,CA,53.2168,-114.9854,51.91,49,5,10.74,clear sky
44,Sao Filipe,CV,14.8961,-24.4956,75.49,72,4,14.97,clear sky
45,Wuda,CN,39.4994,106.7117,72.52,26,34,4.43,scattered clouds
46,Katsuura,JP,35.1333,140.3,71.71,82,45,16.53,scattered clouds
47,Yumen,CN,40.2833,97.2,71.01,28,16,10.18,few clouds
48,Ziro,IN,27.6333,93.8333,59.74,96,65,0.51,broken clouds
49,Sinnamary,GF,5.3833,-52.95,80.38,84,91,8.39,overcast clouds
50,Rudbar,AF,30.15,62.6,94.17,11,0,8.57,clear sky
51,Port Elizabeth,ZA,-33.918,25.5701,63.1,67,20,24.16,light rain
52,Chuy,UY,-33.6971,-53.4616,58.89,55,45,16.96,scattered clouds
53,Georgetown,MY,5.4112,100.3354,85.95,87,20,5.99,moderate rain
54,Mtambile,TZ,-5.3833,39.7,77.23,74,30,10.27,scattered clouds
55,Kapaa,US,22.0752,-159.319,70.12,80,1,1.01,clear sky
56,Sistranda,NO,63.7256,8.834,58.96,82,9,14.18,clear sky
57,Quatre Cocos,MU,-20.2078,57.7625,75.31,86,27,4.65,scattered clouds
58,Turayf,SA,31.6725,38.6637,88.05,20,0,13.8,clear sky
59,College,US,64.8569,-147.8028,40.21,54,75,12.66,broken clouds
60,Mataura,NZ,-46.1927,168.8643,49.48,97,100,2.86,overcast clouds
61,Bengkulu,ID,-3.8004,102.2655,75.79,89,100,5.46,overcast clouds
62,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,90,8.05,overcast clouds
63,Ilulissat,GL,69.2167,-51.1,62.62,23,75,13.8,broken clouds
64,Luderitz,NA,-26.6481,15.1594,67.01,58,44,20.94,scattered clouds
65,Viking,CA,53.1001,-111.7684,57.06,60,43,13.51,scattered clouds
66,Alofi,NU,-19.0595,-169.9187,73.29,100,88,2.3,moderate rain
67,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,52,10.0,broken clouds
68,Hermanus,ZA,-34.4187,19.2345,61.9,81,24,9.33,light rain
69,Mumbwa,ZM,-14.9783,27.0619,63.34,24,0,3.83,clear sky
70,Kamenka,RU,51.3223,42.7678,72.73,64,12,5.93,few clouds
